PM10,NO,NO2,O3,PM25
5.217,5.684,28.38773,57.97509,5.0
5.217,3.2113,24.09633,55.97939,6.0
9.082,2.98651,16.8451,62.5153,6.0
9.082,2.4727,8.4302,67.65423,4.0
12.947,1.4772,4.60052,72.14456,4.0
8.116,0.85611,4.1421,73.17567,5.0
10.048,1.28416,2.12207,74.63918,4.0
7.15,0.28894,1.31029,74.73897,5.0
8.116,0.41735,1.16209,75.48735,4.0
6.184,0.09631,1.16731,75.58714,4.0
6.184,0.51366,3.98532,72.29423,3.0
13.913,1.41257,9.18196,66.70627,2.0
4.251,2.56832,15.4459,62.46541,-1.0
11.015,3.08198,20.35659,56.92734,2.0
15.846,3.37091,15.53026,61.01853,5.0
14.879,3.21039,11.05216,67.10541,3.0
9.082,3.59564,13.72458,67.95359,4.0
3.285,3.59564,12.16607,69.15101,3.0
11.015,3.88458,11.77175,69.60004,4.0
14.879,2.79304,10.47451,70.99703,3.0
10.048,2.08676,10.29118,74.19015,2.0
9.082,3.04987,11.24958,72.19445,6.0
10.048,2.02255,9.41556,73.09251,8.0
11.981,1.92624,8.05343,75.48735,6.0
14.879,1.6052,6.45144,77.58284,4.0
16.812,1.6373,5.23334,78.73037,7.0
13.913,1.12364,5.92354,76.5351,5.0
18.744,1.73361,5.03696,76.68477,5.0
23.575,1.18785,4.5101,75.73682,5.0
37.102,0.68469,3.82165,75.63703,12.0
19.71,0.34235,1.9433,76.63488,8.0
19.71,0.51352,2.86624,75.53725,6.0
16.812,0.57771,2.7191,74.63918,4.0
15.846,0.35304,1.65085,76.23574,5.0
8.116,0.44933,4.27997,73.24219,3.0
8.116,0.44933,4.81583,72.14456,6.0
19.71,0.99494,6.22013,68.80176,7.0
22.609,1.44427,6.01831,66.60649,4.0
18.744,1.70103,8.88853,62.11616,4.0
20.677,1.92569,8.93377,61.36778,4.0
21.643,2.27874,10.48718,59.871,6.0
20.677,3.20949,14.12641,57.72562,6.0
19.71,2.15036,9.95331,64.11186,4.0
21.643,3.94767,16.25845,56.72777,2.0
26.474,3.94767,13.38426,61.56735,9.0
17.778,3.7551,13.53339,61.8667,8.0
18.744,2.56759,13.30819,60.66928,6.0
20.677,2.43921,12.87174,60.61939,7.0
11.981,1.31589,11.71995,60.91874,4.0
16.812,1.57265,15.17475,57.07702,4.0
14.879,2.85645,14.76517,58.37423,7.0
17.778,3.91558,17.96397,56.37853,6.0
14.879,3.85139,17.28295,59.57165,6.0
12.947,1.5829,9.0724,66.7229,6.0
13.913,0.72728,8.82508,67.52118,4.0
9.082,1.02675,8.99935,67.35488,3.0
8.116,1.15509,9.2411,67.60434,2.0
11.981,0.51337,5.35239,72.69337,3.0
6.184,0.83423,9.05091,69.35058,4.0
11.015,0.38503,7.88806,65.95789,2.0
11.015,0.57755,8.51868,57.77552,0.0
14.879,0.60963,12.41634,54.03358,6.0
6.184,1.02675,15.28509,54.13336,8.0
12.947,1.31552,15.9143,52.73637,6.0
10.048,1.54012,7.53002,62.31573,5.0
10.048,1.37969,8.50691,61.51745,5.0
8.116,2.08558,10.00707,59.47186,6.0
11.015,2.18184,9.03113,63.16391,3.0
8.116,1.82889,10.64429,58.5239,2.0
10.048,1.57221,22.05008,45.55185,4.0
1.353,2.85564,19.98472,47.84691,7.0
10.048,2.7273,19.64552,44.15486,11.0
11.981,1.86098,15.37029,48.69508,7.0
7.15,1.63638,12.35254,51.08992,5.0
10.048,1.41178,10.26059,52.83616,7.0
3.285,0.99466,5.19915,58.92304,5.0
10.048,1.09092,3.73594,61.41767,4.0
11.015,0.64154,4.34504,57.80878,0.0
8.116,0.556,2.20175,59.93752,1.0
11.981,0.38492,1.0669,61.01853,6.0
7.15,0.44908,0.72484,62.46541,6.0
8.116,0.25662,1.21489,66.30713,7.0
5.217,0.38492,1.55428,69.30068,5.0
7.15,1.02646,4.71336,63.91229,6.0
4.251,1.53969,16.59836,51.48906,7.0
6.184,3.40014,21.39762,47.14841,6.0
9.082,3.97752,16.75946,49.74282,4.0
7.15,3.52845,14.32879,49.59315,4.0
8.116,3.23976,10.92112,55.03143,8.0
12.947,2.50199,9.17679,53.83401,9.0
15.846,4.39452,17.28979,49.44347,7.0
6.184,5.13229,20.35006,45.05293,6.0
14.879,4.13791,25.28643,36.5712,6.0
13.913,7.12105,32.31205,20.95485,8.0
12.947,6.28705,29.54555,23.39958,8.0
16.812,3.94545,25.58153,27.19141,11.0
13.913,3.1756,21.352,30.38453,7.0
11.981,2.46991,19.21731,32.48002,7.0
13.913,2.40576,17.31741,33.52776,7.0
6.184,2.50199,15.51276,35.72303,9.0
11.981,1.3793,13.38387,36.27185,9.0
10.048,0.76963,9.8049,40.18009,9.0
10.048,0.72687,6.81547,43.57278,5.0
10.048,0.67342,4.86617,46.05078,-1.0
6.184,0.19241,6.72497,46.05078,6.0
